"meting","filename","original_path","format","pupil_id","school_id","ggir_compatible"
"meting_1","1001.csv","../data/example/dummy_data/meting_1/1001.csv","geneactiv_csv","1001",1,TRUE
"meting_1","1002.csv","../data/example/dummy_data/meting_1/1002.csv","geneactiv_csv","1002",1,TRUE
"meting_1","2001.csv","../data/example/dummy_data/meting_1/2001.csv","geneactiv_csv","2001",2,TRUE
"meting_1","2002.csv","../data/example/dummy_data/meting_1/2002.csv","geneactiv_csv","2002",2,TRUE
"meting_1","3001.csv","../data/example/dummy_data/meting_1/3001.csv","geneactiv_csv","3001",3,TRUE
"meting_1","3002.csv","../data/example/dummy_data/meting_1/3002.csv","geneactiv_csv","3002",3,TRUE
"meting_1","4001.csv","../data/example/dummy_data/meting_1/4001.csv","geneactiv_csv","4001",4,TRUE
"meting_1","4002.csv","../data/example/dummy_data/meting_1/4002.csv","geneactiv_csv","4002",4,TRUE
"meting_1","5001.csv","../data/example/dummy_data/meting_1/5001.csv","geneactiv_csv","5001",5,TRUE
"meting_1","6001.csv","../data/example/dummy_data/meting_1/6001.csv","geneactiv_csv","6001",6,TRUE
"meting_2","1001.csv","../data/example/dummy_data/meting_2/1001.csv","geneactiv_csv","1001",1,TRUE
"meting_2","1002.csv","../data/example/dummy_data/meting_2/1002.csv","geneactiv_csv","1002",1,TRUE
"meting_2","2001.csv","../data/example/dummy_data/meting_2/2001.csv","geneactiv_csv","2001",2,TRUE
"meting_2","2002.csv","../data/example/dummy_data/meting_2/2002.csv","geneactiv_csv","2002",2,TRUE
"meting_2","3001.csv","../data/example/dummy_data/meting_2/3001.csv","geneactiv_csv","3001",3,TRUE
"meting_2","3002.csv","../data/example/dummy_data/meting_2/3002.csv","geneactiv_csv","3002",3,TRUE
"meting_2","4001.csv","../data/example/dummy_data/meting_2/4001.csv","geneactiv_csv","4001",4,TRUE
"meting_2","4002.csv","../data/example/dummy_data/meting_2/4002.csv","geneactiv_csv","4002",4,TRUE
"meting_2","5001.csv","../data/example/dummy_data/meting_2/5001.csv","geneactiv_csv","5001",5,TRUE
"meting_2","6001.csv","../data/example/dummy_data/meting_2/6001.csv","geneactiv_csv","6001",6,TRUE
